what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1334415808623
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1334415808717
started,bundle,com.python.pydev.analysis,2.2.3.2011100616,"com.python.pydev.analysis",1334415808732
started,bundle,org.python.pydev,2.2.3.2011100616,"org.python.pydev",1334415808779
started,bundle,org.python.pydev.core,2.2.3.2011100616,"org.python.pydev.core",1334415808795
os,sysinfo,,,"win32",1334415808795
arch,sysinfo,,,"x86_64",1334415808795
ws,sysinfo,,,"win32",1334415808795
locale,sysinfo,,,"es_ES",1334415808795
processors,sysinfo,,,"4",1334415808795
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334415808795
java.runtime.version,sysinfo,,,"1.7.0-b147",1334415808795
java.specification.name,sysinfo,,,"Java Platform API Specification",1334415808795
java.specification.vendor,sysinfo,,,"Oracle Corporation",1334415808795
java.specification.version,sysinfo,,,"1.7",1334415808795
java.vendor,sysinfo,,,"Oracle Corporation",1334415808795
java.version,sysinfo,,,"1.7.0",1334415808795
java.vm.info,sysinfo,,,"mixed mode",1334415808795
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1334415808795
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334415808795
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1334415808795
java.vm.specification.version,sysinfo,,,"1.7",1334415808795
java.vm.vendor,sysinfo,,,"Oracle Corporation",1334415808795
java.vm.version,sysinfo,,,"21.0-b17",1334415808795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334417518277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334417520227
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334417520305
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1334417521225
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1334417521225
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1334417521740
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1334417521756
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1334431659897
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1334431659897
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1334431659928
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1334431659928
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1334431659928
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1334431659943
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1334431659959
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1334431659959
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1334431659990
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1334431659990
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1334431659990
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1334431660068
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1334431660099
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1334431660146
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1334431660224
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1334431660333
started,bundle,org.eclipse.emf.common,2.7.0.v20110605-0747,"org.eclipse.emf.common",1334431660458
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110606-0949,"org.eclipse.emf.common.ui",1334431660474
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110605-0747,"org.eclipse.emf.ecore",1334431660474
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1334431660505
started,bundle,org.eclipse.emf.edit,2.7.0.v20110606-0949,"org.eclipse.emf.edit",1334431660536
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110606-0949,"org.eclipse.emf.edit.ui",1334431660583
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1334431660661
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1334431660677
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1334431660755
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1334431660786
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1334431660786
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1334431660786
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1334431660817
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1334431660911
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1334431660942
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1334431661035
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1334431661113
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1334431661207
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1334431661550
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1334431661613
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1334431661769
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1334431661831
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1334431661940
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1334431661971
